path,text,label
./email/ok_training/hamtraining (88).txt,"﻿تا امثال شماها هستند مملکت ما همچنان با مشکلات دست و پنجه نرم می کند..شماهایی که اسمتون و گذاشتین اصولگراها....البته افراطی
رئیس جمهوری داشتین که این هشت سال همه مردم را به نابودی کشاند اما چشم و گوشتون رو بستین و فقط با یک بهونه بی مورد شخصیتهای برجسته نظام رو زیر سوال می برین...احمدی نژاد صنعت کشور رو به نابودی کشاند...
درود بر خاتمی و هاشمی و روحانی...",ham
./email/ok_training/hamtraining (235).txt,"﻿سامان جان:
این که بگی این شعاره کاری رو حل نمیکنه. شما تمام کسانی که باهاشون از نظر عقیده مخالف هستند رو میتونی با برچسب شعاری بودن ساکت کنی اما هیچ استدلال و منطقی پشت این مسئله نیست. آقای امیر احمدی چند وقت قبل پاسخی در این مورد داد اما شما هیچ جوابی بهش ندادید. دکتر مدرسی به خاطر اینکه کارشناسی و کارشناسی ارشدش رو از دانشگاه آزاد گرفته استخدام نمیشه در دانشگاه دولتی. دکتر سپیده عبدالکریمی از تربیت مدرس دکتری دارند و امسال در شهید بهشتی استخدام شدند و البته قبلش در دانشگاه هایی مثل علامه تدریس میکردند. دکتر خیر آبادی هم که از تربیت مدرس دکتری دارند در سازمان پژوهش و برنامه ریزی آموزشی کارشناس گروه زبانهای خارجی هستند. چرا به این موارد اشاره نمیکنی؟
در اینکه کنکور زبانشناسی آسون هست شکی نیست چون سازمان سنجش کلا حال تغییرات در این آزمون رو نداره!!! اما فکر میکنی چرا اون دوست شما ترم اول انصراف داد رفت؟ اتفاقا چند نفر بودند که به من گفتند زبانشناسی سخته. یکی بود که از من سوال کرد رشته تون سخته؟ من هم جواب واضحی ندادم چون برای من سخت نیست. اما ایشون گفت که یک بار شرکت کرده و قبول نشده. شاید هم چون درس نخونده قبول نشده. یک نفر دیگه هم بود که بین ادبیات انگلیسی و زبانشناسی شک داشت اما ظاهرا چون فکر میکرد زبانشناسی سخته بیشتر دوست داشت ادبیات انگلیسی رو ادامه بده.",ham
./email/ok_training/hamtraining (123).txt,"﻿خانم علی نژاد سلام،

مدتی بود میخواستم برای شما بنویسم اما هرچی صبر کردم  تا ابها از اسیاب بیفتد افاقه نکرد. ظاهرا این آب حالا حالا ها از اسیاب نخواهد افتاد، با خودم گفتم همین امروز بنویسم شاید فردا دیر باشد. حقیقتش آخرین ویدیویی که آپلود کردید و شوریده سر در متروی انجلستان اواز خواندید – چون بر شما تهمت زده بودند- من را مصمم کرد که این مرقومه را زودتر بفرستم که مبادا فرصت از دست برود.

اول روشن کنم که من مثل شما یک خبرنگار حرفه ای نیستم؛ توی روستا بزرگ نشدم و شاید زندگی ام با شما خیلی متفاوت باشد اما شما را از خیلی سال قبل می شناسم، همان روزهای به اصطلاح اصلاحات نام شما را از پدرم شنیدم که هنوز هم از طرفداران پر و پا قرص شماست. جایی مصاحبه ی شما را دیده بود و از دختری جوان می گفت که از شهری کوچک در شمال آمده بود اما آنچنان شجاعانه  و فصیح و متفاوت و دلیر بود که بر دلش نشسته بود.

خانم علی نژاد، من مثل شما توی یک خانواده ی مذهبی-سنتی به دنیا نیومدم؛ دور و برم هم توی فامیل کسی را ندیدم که محجبه باشد، حتی محض رضای خدا یک دونه هم خاله فاطی یا عمه کتی نداشتیم که توی عروسی پسرش با روسری مارک دار و کت دامن ورساچه ظاهر شود؛ چه رسد به چادر و حجاب برتر. مادرم با افتخار تعریف می کرد که پدرش که عهد شاه وزوزک از فرنگستان فارق التحصیل شده بود یک روز از در آمده و دیده که مادربزرگم برای یکی از دخترها چادرنماز گل گلی دوخته، چادر را برداشته و با چاقو تکه تکه کرده چون آن رو نشانه ی عقب افتادگی و شلختگی می دانسته و به دخترهایش اندرز می داده که آراسته باشند و جوراب های شان بلند و سفید و تمیز  و دامن های شان  بالای زانو باشد.

خانم علی نژاد من روزی که مادرم محجبه شد را هنوز یادم هست. شهر سیاه بود و پر از پاسدار و سرودهای انقلابی. خاله و مادرم پشت ماشین نشسته بودند و پدرم رانندگی می کرد که  یک موتوری ریشو کنار ماشین ما توقف کرد و با قیافه ای خشمگین چیزی گفت. یادم هست که خاله ام در کیفش را باز کرد و دو تا روسری کوچک  بیرون کشید و سرشان کردند. به خودشان از درد می پیچیدند. وقتی از ماشین پیاده شدند و برای اولین بار با روسری توی خیابون های تهران راه می رفتند کند تر از همیشه حرکت می کردند و مدام حواسشان به روسریهایی بود که با لجبازی یا از روی سرشان می افتاد و یا گره اش شل می شد و لیز می خورد. رقت انگیز و پیر شده بودند، انگار کمرشان زیر بار تحقیر شکسته بود. پدرم سیگاری در آورد و پک زد. هیچ کس حرفی نزد، شاید هم باید می زد، اما توی جو آن سالها و شور انقلابی و موتوری های مسلح نشد که بایستند و از حق شان دفاع کنند. چند ماه بعد هم جنگ شروع شد و ترس از بمب و قحطی کشور را وارد آن برهه ی حساس تاریخ کرد؛ برهه ی سرنوشت سازی که تا همین امروز هم ادامه دارد. طوفانی آغاز شده بود و همه ی امید و رنگ و زیبایی را از چهره ی شهر پاک می کرد. فرصتی برای دفاع از حق پوشش زنان نماند و این صنم توی آن همه یاسمن گم شد. مادر و خاله ی من هم روسری سر کردن را یاد گرفتند. من اما آن روز را هرگز از یاد نمی برم. آن روز پیش چشم من و پدرم به دو زن از خانواده ی ما تجاوز شد. آن صحنه ای که خاله و مادرم ترسیده از چشمهای خونگرفته ی آن پاسدار به روسری هایشان چنگ زدند تا موههایشان را بپوشانند دست کمی از قربانی تجاوزی که با تکه  پارچه ای عریانی اش را  می پوشاند نداشت.

خانم علی نژاد شاید شما هیچ وقت تجربه ی  آن غروب غمگینی که مادر من محجبه شد را درک نکنید مگر کسی به زور لباس بر تن مادر شما پیش چشمتان دریده باشد. چه فرق دارد که به زور لباس از تنت بدرند و یا آنرا تنت کنند؟ همه ی دغدغه ی من همه این سالها این بوده که بر سر ما چه آمد، وقتی که  با شلاق به جانمان افتادند تا به زور به بهشت ببرندمان؛ چه کسی روایت آنچه بر ما گذشت را خواهد گفت؟ امروز صفحه ی آزادی های پنهانی شما زبان حال زنهای چادری؛ زنهای بی دین؛ مردهای دگر اندیش؛ و خیلی های دیگری که با حجاب اجباری و همه ی چیزهای اجباری مخالفند شده است. بازتاب گسترده ی این حرکت در رسانه ها هم اتفاق فرخنده ای است و چهره ی واقعی آنچه را که در بر زنان ایران می گذرد را به مردم دنیا نشان می دهد. زنانی که همه ی این سالها ارزوی ساده ی احساس کردن نسیم در میان گیسوهای شان به دلشان مانده است. این صفحه با ایده ی خوب شما شروع  شده اما به لطف حضور  زنها و دخترانی امتداد پیدا کرده  که هرگز رویای آزادی را فراموش نکرده اند. نه، این صفحه قرار نیست جمهوری اسلامی را سرنگون کند یا سرآغاز هیچ حرکت گسترده تری باشد اما در همین حد هم کار سترگی است جمع کردن این همه در یک جا؛ که از آزادی سرودن همواره کاری است بزرگ همچون حرفهای ناگفته در هر عکس، هر کلمه، هر تار مویی که در باد آزادی را فریاد می کند.

خانم علی نژاد، من تجربه ی مختصری در نوشتن دارم ولی انقدر می دانم که هروقت در مسیر درستی هستید در برابر شما می ایستند، با همه ی توانشان؛ نه با موتور و ریش و فحش و اسید. با کلمات! و این کلمات زخمش هزار بار بیشتر است. کار سختی است ایستادن و محکم ایستادن در برابر تهمت ها؛ جنگ روانی و حرمت شکنی. حرمت پوچشان را شکسته اید و به خیال خودشان تلافی می کنند. هدف فقط و فقط خسته کردن شماست. تجربه ی مختصر من در نوشتن این است که هم کلام شدن با کسی که برای بحث کردن به شما به هیچ اصلی پای بند نیست و برای این کار پول می گیرد معامله ای است در نهایت زیان آور. کار خودتان را بکنید؛ اعتنایشان نکنید، اگر یک کنش گرید؛ واکنش نشان ندهید حتی اگر این واکنش خواندن آواز در مترو باشد.  نگذارید با فشار دادن نقطه های انسانی شما دردتان بیاورند. سخت است انسان بودن و فوق انسانی رفتار کردن، اما شما که از روز اول قلم به دست گرفتید ؛ باید آماده ی بدتر از اینها هم بوده باشید. که قلم اگر برای بعضی نون و القلم بود برای ما خون بود و قلم.

قلمتان مستدام و سبز.",ham
./email/ok_training/hamtraining (145).txt,"﻿ >> >> 2013/8/10 Faramarz Dehgan <faramarzdehgan@gmail.com>
>> >>
>> >>> سلام عباس جان !
>> >>> وقتی شما به من می گویید هفته اینده یا اول اگوست یا فلان تاریخ کتابت
>> >>> منتشر میشه من هم به دوستان مشترک و یا غیر مشترکمون اعلام می کنم .
>> >>> اون
>> >>> وقت سر تاریخ مورد نظر من خیط میشم . بعد اونا فکر می کنن من از بیخ
>> >>> توهم
>> >>> زده ام . اگر به هر دلیلی از چاپ و انتشار کتاب منصرف شده اید بگویید تا
>> >>> من تکلیف خودم را بدانم . طبیعی است که این موضوع نمی تواند تغییری در
>> >>> علاقه من نسبت
>> >>> خود تو و کارت ایجاد کنه و من همچنان با احترام و تواضع
>> >>> در صف دوستان و علاقمندان ات باقی خواهم ماند
>> >>> لطفا جواب این پیام را سریعتر برام بنویس
>> >>> ممنونم

>> > On 8/13/13, Abbas Maroufi <abbasmaroufi@googlemail.com> wrote:
>> >> سلام فرامرز عزیزم
>> >> کتاب منتشر شده
>> >> تبریک میگم
>> >>
>> >> فقط فرصت نکردم بهت خبر بدم. بگو برای کی و کجا بفرستم؟
>> >> می بوسمت
>> >> عباس",ham
./email/ok_training/hamtraining (162).txt,"﻿ >> >>> >> >>> 2013/11/9 Faramarz Dehgan <faramarzdehgan@gmail.com>
>> >>> >> >>>
>> >>> >> >>>> من واقعا درک نمی کنم که این چه نوع کلاهبرداری است که از اشخاص
>> >>> >> >>>> غیر
>> >>> از
>> >>> >> >>>> خودتان مایه می گذارید و پای دیگران را وسط می کشید . ابتدا از
>> >>> >> >>>> یک
>> >>> پزشک
>> >>> >> >>>> شیرازی نام بردید بعد قضیه کاوه و حالا هم آقای حسین زاده . از
>> بین
>> >>> >> >>>> رفتن
>> >>> >> >>>> شخصیتی مثل معروفی البته برای ادبیات ضربه بزرگی است اما یک
>> داستان
>> >>> >> >>>> نویس
>> >>> >> >>>> قیمت گزافی برای از بین بردن روحیه دروغ و دغل در جامعه نیست .
>> >>> بسیارند
>> >>> >> >>>> کسانی که داستان بنویسند اما دروغها و کلاهبرداریها و
>> >>> >> >>>> شارلاتانیسم
>> >>> >> >>>> هر
>> >>> >> >>>> روز
>> >>> >> >>>> هزاران استعداد ناب را در این ملک دفن می کنند . من تصمیم خود
>> >>> >> >>>> را
>> >>> >> >>>> در
>> >>> >> >>>> عصبانیت نگرفته ام . از زمانی که به شما اعتماد کردم دقیقا 10
>> >>> >> >>>> ماه
>> >>> >> >>>> می
>> >>> >> >>>> گذره
>> >>> >> >>>> و من بعد از گذشت همان یک ماه نخست دریافته بودم که با یک تصمیم
>> >>> >> >>>> گیری
>> >>> >> >>>> خطیر روبرو هستم . چطور فکر کردید با یک احمق روبرو هستید ؟
>> >>> >> >>>> مطمئن
>> >>> >> >>>> باشید
>> >>> >> >>>> من آمادگی کامل برای مبارزه با این شارلاتان بازی ها را دارم
>> >>> >> >>>> پس آقای معروفی به نفعتان است که هر چه زودتر این قضیه را جمع
>> کنید
>> >>> >> >>>> و
>> >>> >> >>>> پول
>> >>> >> >>>> مرا پس بدهید .",ham
./email/ok_training/hamtraining (146).txt,"﻿ >> On 8/16/13, Faramarz Dehgan <faramarzdehgan@gmail.com> wrote:
>> > سلام و خیلی خیلی ممنونم
>> > . .
>> > . عباس جان قرار بود کتاب روی سایت گردون و آمازون هم قرار بگیره
>> > اون قسمت کار هم اگه انجام بشه خیلی بهتر میشه .
>> > دوستی را که مقیم آلمانه برای گرفتن کتابها می فرستم . خودش باهاتون تماس
>> > می
>> > گیره
>> > . دوست داشتم خبر چاپ کتاب اول توسط خود نشر گردون داده بشه
>> > اگه لطف کنید ممنون می شم وگرنه که خودم توی فیس بوک اعلامش می کنم
>> > سپاس بسیار دارم
>> > به امید روزهای خوب برای تو و نشر ارزشمند گردون
>> > کاش وضعم طوری بود که می تونستم زحمتت را با کمک به نشر گردون جبران کنم
>> > . می بوسمت

> 2013/8/16 Faramarz Dehgan <faramarzdehgan@gmail.com>
>
>> ضمنا عباس جان لطف کن بهم بگو شرایط ارسال کتاب از طرف خودت چیه ؟ ینی می
>> خوام یه تعداد معدود را برای خودم توی . ایران بفرستی
>> مشکلی با پست که نداری ؟

On 8/19/13, Abbas Maroufi <abbasmaroufi@googlemail.com> wrote:
> فرامرز عزیزم
> سلام
> در اولین فرصت توسط مسافر برات کتاب می فرستم
> چشم
>
> با پست امکان نداره",ham
./email/ok_training/hamtraining (10).txt,"﻿سلام
با افتخار استاد بزرگوارم جناب دكتر فرخ پي رو انتخاب ميكنم، از ايشون چيزهايي رو ياد گرفتم كه توي هيچ كتابي نميشه پيدا كرد. براي ايشون و همه اساتيد محترم ارزوي طول عمر و سلامتي دارم.",ham
./email/ok_training/hamtraining (187).txt,"﻿سلام اقای کیکاووس
تشکر از توضیحاتتان.
کم کم داشتم از شدت همدلی دوستان شرکت کننده در آزمون دکتری زبانشناسی سکته می کردم ! وقتی به سایت پی اچ دی تست میرم و می بینم بقیه دوستان سایر رشته ها با چه همدلی در باره مصاحبه با هم تبادل نظر می کنند و به این وبلاگ می آیم و پنهان کاری شرکت کنندگان آزمون دکتری را در حد اعلای خودش می بینم دلم می گیرد. تنها مصاحبه بنده آزاد است که هنوز انجام نشده و تاکنون تجربه ای نداشته ام و گرنه صحبت از یک مصاحبه فکر نکنم کمک به رقبا باشد . بگذار ما بچه های رشته زبانشناسی به همین بدبختی دچار باشیم که تحویلمان نگیرند. بدجوری حتی از گفتن درصدهایمان با انم مستعار می ترسیم که نکند کمک به رقبا باشد. آمار مراجعه به این وبلاگ حکایت دیگری دارد از مراجعه بسیاری به آن. ناراحت نشویم. باید از خودمان خجالت بکشیم! حسادت ... هم از نوع زنانه اش و هم از نوع مردانه اش ! ... والبته دوستان شرکت کننده در آزمون ارشد هنوز مثل ما نشده اند و صمیمیتشان در این وبلاگ ستودنی است. دعا کنیم چند سال دیگر مثل ما نشوند.",ham
./email/ok_training/hamtraining (13).txt,"﻿سلام
من آقای دکتر مهدی مشکوه الدینی رو انتخاب میکنم
ایشون نمونه کامل یک معلم و استاد با شخصیت وارسته فروتن محترم دارای قدرت بیان عالی عاشق تدریس دارای وجدان کاری ( که در این روزگار متاع بسیار نایابی است) میباشند که متاسفانه فقط یک ترم باهاشون درس داشتمبه علت بازنشستگی ایشون که بر طبق مقررات کلاس کمی بهشون میدن
کاش اینجور اساتید بیشتر بودند
در مورد دکتر دبیر مقدم زیاد شنیدم ولی متاسفانه در محضرشون نبودم",ham
./email/ok_training/hamtraining (95).txt,"﻿با سلام و خسته نباشید 
احتراما اینجانب ساکن تهران میدان رسالت با توجه به نیاز مبرم به داشتن اینترنت ADSL بارها از طریق شرکتهای مختلف از قبیل داتک ، های وب و شاتل  و.... قصد خرید ADSL نموده ام که هر بار با این پاسخ که در مرکز تلفن حکمت شعار واقع در میدان رسالت خیابان فرجام شرقی امکان واگذاری ADSL به مشترکین وجود ندارد مواجه شده ام، الان حدود چهار ماه است که بنده منتظرم تا امکان واگذاری فراهم گردد ولی این امکان وجود ندارد، البته در مراجعاتی که به مرکز مخابرات حکمت شعار کردم خود کارکنان این مرکز مخابراتی نیز اذعان نموده اند که این مرکز از بزرگترین مراکز مخابراتی تهران میباشد و مناطق زیادی را پوشش میدهد (تا جایی که من اطلاع دارم از مصلی تهران به سمت شرق شامل سید خندان ،مجیدیه ، استاد حسن بنا، شمس آباد، نارمک،گلبرگ ، هفت حوض و شمیران نو و .... تحت پوشش این مرکز میباشند )که این موضوع باعث شده خدمت رسانی های دیگر این اداره  نیز با مشکل مواجه گردد، لذا خواهشمندم با انعکاس درخواست بنده و به ویژه اینکه دانشگاه علم و صنعت و بسیاری مراکز آموزشی و ارگانها و شرکت های خصوصی در این محدوده قرار دارند مسئولین محترم فکری به حال رفع مشکل من و سایر همشهریان عزیز بنمایند.پیشاپیش از همکاری شما و سایر عزیزان کمال تشکر را می نمایم.",ham
